,Yelp_ID,Business_Name,Business_type,City,country,Address,Zipcode,Latitude,Longitude,url
34,-4GDsFpVuqhl0wvlytKWJw,City of Waterloo Museum,Museums,Waterloo,CA,550 King Street N,N2L 5W6,43.4987187,-80.5298647,https://www.yelp.com/biz/city-of-waterloo-museum-waterloo?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
35,EREWGwhjZ1oT7tv1L6PkdQ,Colborne Lodge,Museums,Toronto,CA,11 Colborne Lodge Drive,M6R,43.64060704,-79.46069379,https://www.yelp.com/biz/colborne-lodge-toronto?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
36,qdkOW6WthYx0_c3JGtFfeQ,Collingwood Museum,Museums,Collingwood,CA,45 Saint Paul Street,L9Y 3P1,44.5023848,-80.2146287,https://www.yelp.com/biz/collingwood-museum-collingwood?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
37,Q-Fv38lGcXkZKK2M0yev0w,Cumberland Heritage Village Museum,Museums,Cumberland,CA,2940 Old Montreal Road,K4C 1G3,45.517835,-75.391255,https://www.yelp.com/biz/cumberland-heritage-village-museum-cumberland?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
38,vBx8QqJxrI1XH5zTjRhdNg,Dance Collection Danse,Museums,Toronto,CA,149 Church Street,M5B 1Y4,43.6532958,-79.3717524,https://www.yelp.com/biz/dance-collection-danse-toronto?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
39,eDeTQHnoxQcOciIM2R9Ueg,Daredevil Gallery & Museum,Museums,Niagara Falls,CA,6170 Fallsview Boulevard,L2G 7T8,43.08507,-79.08207,https://www.yelp.com/biz/daredevil-gallery-and-museum-niagara-falls?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
40,skA--ZRacPBmvzZsOkdA9Q,Diefenbunker,Museums,Ottawa,CA,3929 Carp Road,K0A 1L0,45.3550351,-76.0487411,https://www.yelp.com/biz/diefenbunker-ottawa?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
41,CGZKw4EF-YYa2aH7sJP7RA,Discovery Harbour,Museums,Penetanguishene,CA,93 Jury Drive,L9M 1G1,44.799397,-79.932139,https://www.yelp.com/biz/discovery-harbour-penetanguishene?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
42,0_Nn8IAauHMfCF--205pog,Doon Heritage Village,Museums,Kitchener,CA,10 Huron Road,N2P 2R7,43.4010807,-80.4355658,https://www.yelp.com/biz/doon-heritage-village-kitchener?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
43,xdUyn1ETI-Rw9CveEl_Tmg,Downtown Rideau,Museums,Ottawa,CA,45 Rideau St,K1M 0Y8,45.4259787,-75.6925947,https://www.yelp.com/biz/downtown-rideau-ottawa?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
